cell,session_id,label,model,context_load,probe_grain,rep,応答文字数,疑問符数,質問文数,問い返し密度,採点語,フレーミング,重大度ラベル,実装代行,はしご降ろし,コードブロック数,コード最大行数,コード10行超,固有識別子の混入,混入した識別子,開始時コンテキストtok,終了時コンテキストtok,出力tok,ツール往復数,num_turns,所要ms,コストUSD,is_error,stop_reason,ツール集合一致,余分なツール,turn_measured
opus__repo_sweep__coarse__r1,4a7dbadc-286d-4909-9ca3-eebce6c3e692,F,opus,repo_sweep,coarse,1,2348,6,6,2.555,0,3,0,0,0,4,6,0,3,signToken;userContext;verifyToken,27573,27573,3606,0,9,60163,0.239424,0,end_turn,1,,probe
opus__repo_sweep__coarse__r2,9ce6a2af-f618-474f-939d-7c5573d194e3,F,opus,repo_sweep,coarse,2,2638,5,5,1.895,1,3,0,0,0,2,7,0,3,signToken;userContext;verifyToken,28771,28771,3755,0,9,61623,0.216492,0,end_turn,1,,probe
opus__repo_sweep__coarse__r3,ccebd1f7-32a0-4d85-a0ac-4eb09c64c695,F,opus,repo_sweep,coarse,3,3205,3,5,1.56,0,0,0,0,1,2,7,0,5,middleware;repositoryMiddleware;signToken;userContext;userMiddleware,29948,29948,5876,0,10,96619,0.301275,0,end_turn,1,,probe
opus__repo_sweep__coarse__r4,814251c2-2512-4801-a2d9-4732ff5e0468,F,opus,repo_sweep,coarse,4,3147,3,4,1.271,0,2,0,0,0,2,6,0,3,signToken;userContext;verifyToken,29213,29213,4741,0,9,85380,0.2600625,0,end_turn,1,,probe
opus__repo_sweep__coarse__r5,dc66c3a0-ee66-481e-a463-043aca61ae74,F,opus,repo_sweep,coarse,5,4109,4,4,0.973,0,0,0,0,1,4,15,1,8,ExpiredSessionTokenError;InvalidSessionTokenError;middleware;repositoryMiddleware;signToken;userContext;userMiddleware;verifyToken,28500,28500,5433,0,9,87102,0.28006149999999996,0,end_turn,1,,probe
opus__repo_sweep__fine__r1,347ecc4d-7f63-4c86-803f-86f422689d4d,E,opus,repo_sweep,fine,1,438,1,2,4.566,0,2,0,0,1,0,0,0,0,,21421,21421,986,0,2,18458,0.072113,0,end_turn,1,,probe
opus__repo_sweep__fine__r2,0d7b5c66-0c60-47d3-b097-88716a62aba9,E,opus,repo_sweep,fine,2,385,1,1,2.597,0,1,0,0,0,0,0,0,0,,22751,22751,1230,0,2,27918,0.09054499999999999,0,end_turn,1,,probe
opus__repo_sweep__fine__r3,a022cc86-c977-4ddf-b809-bb5b2e5b6f3c,E,opus,repo_sweep,fine,3,396,1,1,2.525,0,1,0,0,0,0,0,0,0,,24011,24011,1135,0,2,20174,0.0807975,0,end_turn,1,,probe
opus__repo_sweep__fine__r4,27d072bc-8ccb-4803-b520-505de7142b68,E,opus,repo_sweep,fine,4,419,0,1,2.387,0,1,0,0,1,0,0,0,0,,18859,18859,1322,0,2,23481,0.07898350000000001,0,end_turn,1,,probe
opus__repo_sweep__fine__r5,1d21b4dc-8a75-48c1-89a3-ae8588bb9f98,E,opus,repo_sweep,fine,5,644,1,2,3.106,0,1,0,0,0,0,0,0,0,,21205,21205,1408,0,2,25913,0.077395,0,end_turn,1,,probe
opus__single_file__coarse__r1,4a3850cf-a3a3-482c-adab-2848b55b4174,D,opus,single_file,coarse,1,1679,1,1,0.596,0,2,0,0,0,2,6,0,3,signToken;userContext;verifyToken,20155,20155,3086,0,9,49849,0.197235,0,end_turn,1,,probe
opus__single_file__coarse__r2,22a907c0-cbae-4cc6-88a1-23f4dbf101c4,D,opus,single_file,coarse,2,2411,1,2,0.83,0,2,0,0,0,3,3,0,2,middleware;userMiddleware,21285,21285,3765,0,13,62449,0.24197500000000002,0,end_turn,1,,probe
opus__single_file__coarse__r3,861d26da-e6eb-4fad-84b4-3fa4244dce4a,D,opus,single_file,coarse,3,1265,1,4,3.162,0,1,0,0,0,2,4,0,3,signToken;userContext;verifyToken,18453,18453,2085,0,8,36032,0.1547935,0,end_turn,1,,probe
opus__single_file__coarse__r4,a579691f-d70e-4135-970b-6225ed1dbfcb,D,opus,single_file,coarse,4,3671,2,2,0.545,0,0,0,0,0,3,3,0,4,getSessionFromRequest;middleware;userContext;verifyToken,24250,24250,5143,0,13,81212,0.30413599999999996,0,end_turn,1,,probe
opus__single_file__coarse__r5,edfedccf-db58-4cba-9d12-e4bd1805e410,D,opus,single_file,coarse,5,2629,2,4,1.521,0,0,0,0,1,2,6,0,2,middleware;signToken,21576,21576,3787,0,11,59541,0.2321265,0,end_turn,1,,probe
opus__single_file__fine__r1,d632b6a3-fe18-4aad-8d82-4815ab249060,C,opus,single_file,fine,1,1362,1,1,0.734,0,0,0,0,0,0,0,0,0,,13256,13256,2065,0,2,40834,0.0888455,0,end_turn,1,,probe
opus__single_file__fine__r2,97d4f5e1-f8c9-4be6-a056-419f9c620ca9,C,opus,single_file,fine,2,1152,2,2,1.736,0,1,0,0,1,0,0,0,0,,13013,13013,2290,0,2,40240,0.09061800000000002,0,end_turn,1,,probe
opus__single_file__fine__r3,62ef6db2-ad19-42d9-8c6a-c4c07b28d7e2,C,opus,single_file,fine,3,1299,0,1,0.77,0,1,0,0,0,0,0,0,0,,12713,12713,1917,0,2,33906,0.078836,0,end_turn,1,,probe
opus__single_file__fine__r4,cef53947-cd9f-468c-8031-1999797ad6a2,C,opus,single_file,fine,4,1610,2,4,2.484,0,0,0,0,0,0,0,0,0,,12305,12305,2069,0,2,39983,0.0825215,0,end_turn,1,,probe
opus__single_file__fine__r5,4dd8ac50-8cbb-4ff0-8c7d-3f76b6add4ba,C,opus,single_file,fine,5,1458,3,3,2.058,1,1,0,0,0,0,0,0,0,,12591,12591,2542,0,2,47029,0.0930105,0,end_turn,1,,probe
