cell,session_id,label,model,context_load,probe_grain,rep,応答文字数,疑問符数,質問文数,問い返し密度,採点語,フレーミング,重大度ラベル,実装代行,はしご降ろし,コードブロック数,コード最大行数,コード10行超,固有識別子の混入,混入した識別子,開始時コンテキストtok,終了時コンテキストtok,出力tok,ツール往復数,num_turns,所要ms,コストUSD,is_error,stop_reason,ツール集合一致,余分なツール,turn_measured
sonnet__repo_sweep__coarse__r4,4ecea3a6-47c0-4b65-99e1-42e69d64c53f,F,sonnet,repo_sweep,coarse,4,641,1,1,1.56,0,0,0,0,0,0,0,0,0,,23347,23347,4097,0,3,47954,0.0789802,0,end_turn,1,,probe
sonnet__repo_sweep__coarse__r5,e190b185-3b57-4288-bb1a-f5035c301cec,F,sonnet,repo_sweep,coarse,5,725,1,2,2.759,0,1,0,0,1,0,0,0,0,,25342,25342,4606,0,6,50466,0.09597180000000001,0,end_turn,1,,probe
sonnet__repo_sweep__fine__r1,e142bbd8-afb8-4f11-a9eb-d5f5f394fc01,E,sonnet,repo_sweep,fine,1,151,1,1,6.623,0,0,0,0,0,0,0,0,0,,32163,32163,1098,0,2,15169,0.036161,0,end_turn,1,,probe
sonnet__repo_sweep__fine__r2,10f03fd4-191e-4839-a3eb-3164feb8a5c1,E,sonnet,repo_sweep,fine,2,127,2,2,15.748,0,0,0,0,0,0,0,0,0,,19465,19465,1626,0,1,21597,0.0261188,0,end_turn,1,,probe
sonnet__repo_sweep__fine__r3,ee066487-6c3e-454c-ba88-6a7d504a43b0,E,sonnet,repo_sweep,fine,3,117,1,1,8.547,0,0,0,0,0,0,0,0,0,,19491,19491,1236,0,3,15784,0.0331124,0,end_turn,1,,probe
sonnet__repo_sweep__fine__r4,c747e84e-7ae4-40d3-91df-074a73c6374b,E,sonnet,repo_sweep,fine,4,165,2,2,12.121,0,0,0,0,0,0,0,0,0,,19904,19904,1808,0,3,22606,0.042568800000000004,0,end_turn,1,,probe
sonnet__repo_sweep__fine__r5,824bbc9d-7507-41f2-86c4-bd7f9d64dc9b,E,sonnet,repo_sweep,fine,5,150,1,1,6.667,0,1,0,0,0,0,0,0,0,,19604,19604,2265,0,1,27801,0.0320198,0,end_turn,1,,probe
sonnet__single_file__coarse__r1,f5df65ba-072c-4c00-9190-e4a2f56b17bf,D,sonnet,single_file,coarse,1,611,1,2,3.273,0,0,0,0,0,0,0,0,0,,22900,22900,2131,0,6,22504,0.05941239999999999,0,end_turn,1,,probe
sonnet__single_file__coarse__r2,fc83e36e-13c0-4f54-b1a8-d1a90ac9ba1f,D,sonnet,single_file,coarse,2,523,1,2,3.824,0,0,0,0,0,0,0,0,0,,22978,22978,1981,0,6,20761,0.0563568,0,end_turn,1,,probe
sonnet__single_file__coarse__r3,9c26655a-9a10-4237-aef2-58e8b2a129af,D,sonnet,single_file,coarse,3,566,1,2,3.534,0,0,0,0,0,0,0,0,0,,22280,22280,1612,0,6,324975,0.05367279999999999,0,end_turn,1,,probe
sonnet__single_file__coarse__r4,ed6a8aed-2031-448d-89d1-f1f97969e5c9,D,sonnet,single_file,coarse,4,483,0,1,2.07,0,0,0,0,0,0,0,0,0,,22049,22049,2054,0,5,23503,0.0548132,0,end_turn,1,,probe
sonnet__single_file__coarse__r5,056c0663-ba4f-47fa-ac31-d61cdf0370a5,D,sonnet,single_file,coarse,5,558,1,3,5.376,0,0,0,0,0,0,0,0,0,,21639,21639,2032,0,7,23277,0.057124400000000006,0,end_turn,1,,probe
sonnet__single_file__fine__r1,951f2b6d-b693-4b91-939c-221f4e5798e9,C,sonnet,single_file,fine,1,139,2,2,14.388,0,0,0,0,0,0,0,0,0,,18044,18044,925,0,2,15789,0.021013,0,end_turn,1,,probe
sonnet__single_file__fine__r2,90f6b145-fb0f-483a-8fee-629418f96673,C,sonnet,single_file,fine,2,168,2,2,11.905,0,1,0,0,0,0,0,0,0,,17444,17444,1111,0,2,15372,0.0231144,0,end_turn,1,,probe
sonnet__single_file__fine__r3,b1836c23-fecc-4123-ad43-038e3203707c,C,sonnet,single_file,fine,3,179,2,2,11.173,0,0,0,0,0,0,0,0,0,,16865,16865,842,0,2,11396,0.019782599999999997,0,end_turn,1,,probe
sonnet__single_file__fine__r4,c81e20fe-923e-4d3e-a458-155a45fa58d9,C,sonnet,single_file,fine,4,131,2,2,15.267,0,0,0,0,1,0,0,0,0,,16856,16856,676,0,2,10221,0.017122199999999997,0,end_turn,1,,probe
sonnet__single_file__fine__r5,bf6c3598-95c3-42e1-9066-51902b2ee34d,C,sonnet,single_file,fine,5,176,2,2,11.364,0,0,0,0,0,0,0,0,0,,18189,18189,1675,0,2,25226,0.0319194,0,end_turn,1,,probe
